host,owner,state,ip,cname,cloud_provider,port,status,title,tech,cpe,findings
3des.badssl.com,,shadow,104.154.89.105,,,1002,400,400 The plain HTTP request was sent to HTTPS port,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
3des.badssl.com,,shadow,104.154.89.105,,,1010,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
3des.badssl.com,,shadow,104.154.89.105,,,1011,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
3des.badssl.com,,shadow,104.154.89.105,,,443,200,3des.badssl.com,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
3des.badssl.com,,shadow,104.154.89.105,,,80,301,301 Moved Permanently,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
dh480.badssl.com,,shadow,104.154.89.105,,,1002,400,400 The plain HTTP request was sent to HTTPS port,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
dh480.badssl.com,,shadow,104.154.89.105,,,1010,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
dh480.badssl.com,,shadow,104.154.89.105,,,1011,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
dh480.badssl.com,,shadow,104.154.89.105,,,80,301,301 Moved Permanently,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
expired.badssl.com,,shadow,104.154.89.105,,,1002,400,400 The plain HTTP request was sent to HTTPS port,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
expired.badssl.com,,shadow,104.154.89.105,,,1010,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
expired.badssl.com,,shadow,104.154.89.105,,,1011,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
expired.badssl.com,,shadow,104.154.89.105,,,443,200,expired.badssl.com,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
expired.badssl.com,,shadow,104.154.89.105,,,80,301,301 Moved Permanently,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
null.badssl.com,,shadow,104.154.89.105,,,1002,400,400 The plain HTTP request was sent to HTTPS port,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
null.badssl.com,,shadow,104.154.89.105,,,1010,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
null.badssl.com,,shadow,104.154.89.105,,,1011,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
null.badssl.com,,shadow,104.154.89.105,,,80,301,301 Moved Permanently,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
rc4.badssl.com,,shadow,104.154.89.105,,,1002,400,400 The plain HTTP request was sent to HTTPS port,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
rc4.badssl.com,,shadow,104.154.89.105,,,1010,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
rc4.badssl.com,,shadow,104.154.89.105,,,1011,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
rc4.badssl.com,,shadow,104.154.89.105,,,443,200,rc4.badssl.com,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
rc4.badssl.com,,shadow,104.154.89.105,,,80,301,301 Moved Permanently,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
scanme.nmap.org,,shadow,45.33.32.156,,,80,200,Go ahead and ScanMe!,Apache HTTP Server:2.4.7;Ubuntu,cpe:2.3:a:apache:http_server:2.4.7:*:*:*:*:*:*:*,
self-signed.badssl.com,,shadow,104.154.89.105,,,1002,400,400 The plain HTTP request was sent to HTTPS port,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
self-signed.badssl.com,,shadow,104.154.89.105,,,1010,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
self-signed.badssl.com,,shadow,104.154.89.105,,,1011,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
self-signed.badssl.com,,shadow,104.154.89.105,,,443,200,self-signed.badssl.com,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
self-signed.badssl.com,,shadow,104.154.89.105,,,80,301,301 Moved Permanently,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
tls-v1-0.badssl.com,,shadow,104.154.89.105,,,1002,400,400 The plain HTTP request was sent to HTTPS port,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
tls-v1-0.badssl.com,,shadow,104.154.89.105,,,1010,200,tls-v1-0.badssl.com,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
tls-v1-0.badssl.com,,shadow,104.154.89.105,,,1011,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
tls-v1-0.badssl.com,,shadow,104.154.89.105,,,443,301,301 Moved Permanently,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
tls-v1-0.badssl.com,,shadow,104.154.89.105,,,80,301,301 Moved Permanently,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
tls-v1-1.badssl.com,,shadow,104.154.89.105,,,1002,400,400 The plain HTTP request was sent to HTTPS port,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
tls-v1-1.badssl.com,,shadow,104.154.89.105,,,1010,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
tls-v1-1.badssl.com,,shadow,104.154.89.105,,,1011,200,tls-v1-1.badssl.com,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
tls-v1-1.badssl.com,,shadow,104.154.89.105,,,443,301,301 Moved Permanently,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
tls-v1-1.badssl.com,,shadow,104.154.89.105,,,80,301,301 Moved Permanently,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
wrong.host.badssl.com,,shadow,104.154.89.105,,,1002,400,400 The plain HTTP request was sent to HTTPS port,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
