host,owner,state,ip,cname,cloud_provider,port,status,title,tech,cpe,findings
expired.badssl.com,,shadow,104.154.89.105,,,1002,400,400 The plain HTTP request was sent to HTTPS port,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
expired.badssl.com,,shadow,104.154.89.105,,,1010,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
expired.badssl.com,,shadow,104.154.89.105,,,1011,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
expired.badssl.com,,shadow,104.154.89.105,,,443,200,expired.badssl.com,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
expired.badssl.com,,shadow,104.154.89.105,,,80,301,301 Moved Permanently,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
rest.vulnweb.com,,shadow,18.215.71.186,,,80,200,Invicti Vulnerable REST API,Apache HTTP Server:2.4.25;Debian;PHP:7.1.26,cpe:2.3:a:apache:http_server:2.4.25:*:*:*:*:*:*:*;cpe:2.3:a:php:php:7.1.26:*:*:*:*:*:*:*,high:wordpress-db-exposure;medium:mysql-dump
rest.vulnweb.com,,shadow,18.215.71.186,,,8081,200,,Apache HTTP Server:2.4.25;Debian;PHP:7.1.26,cpe:2.3:a:apache:http_server:2.4.25:*:*:*:*:*:*:*;cpe:2.3:a:php:php:7.1.26:*:*:*:*:*:*:*,high:wordpress-db-exposure;medium:mysql-dump
scanme.nmap.org,,shadow,45.33.32.156,,,80,200,Go ahead and ScanMe!,Apache HTTP Server:2.4.7;Ubuntu,cpe:2.3:a:apache:http_server:2.4.7:*:*:*:*:*:*:*,
self-signed.badssl.com,,shadow,104.154.89.105,,,1002,400,400 The plain HTTP request was sent to HTTPS port,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
self-signed.badssl.com,,shadow,104.154.89.105,,,1010,421,,Nginx:1.10.3;Ubuntu,cpe:2.3:a:nginx:nginx:1.10.3:*:*:*:*:*:*:*,
